id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
F52.682_9.744,52.682,9.744,5.53,20.6,65.73,12.6,21.67,43.03,3.8
F53.178_9.871,53.178,9.871,5.13,19.2,46.87,13.87,39.27,62.37,3.99
F52.253_10.46,52.253,10.46,5.63,23.33,38.37,23.83,37.8,42.03,3.24
F52.895_10.092,52.895,10.092,5.0,17.83,53.93,16.53,29.53,47.37,3.32
F52.089_10.446,52.089,10.446,6.7,23.07,29.17,28.73,42.13,34.1,3.4
F53.451_9.882,53.451,9.882,5.13,17.97,47.77,12.73,39.53,67.9,3.5
F52.271_10.583,52.271,10.583,5.3,23.73,37.0,29.4,33.6,47.67,4.36
F51.724_10.618,51.724,10.618,4.83,27.9,23.87,28.2,47.9,88.37,4.91
F53.05_11.462,53.05,11.462,5.97,23.77,72.43,9.37,18.2,52.7,4.87
F51.89_9.479,51.89,9.479,5.33,21.23,14.07,27.03,58.9,60.37,4.0
F52.995_10.446,52.995,10.446,5.4,21.1,68.03,10.03,21.9,49.4,3.13
