art,gbif_id,datum,lat,lon,monat,hoehe,regen_reife,regen_frisch,regentage,tage_seit_regen,regen_60,bilanz_14,bilanz_60,temp,bt07,bf07,bt728,bf728,frosttage,min_temp,min_boden,tage_vorhanden,tage_lang,tage_et0
schwefelporling,6344603630,2026-05-27,52.12981,9.97244,5,104.0,27.1,0.0,5,7,132.6,-30.0,-52.6,14.3,20.5,0.135,18.2,0.194,,,,15,,
schwefelporling,6344617224,2026-05-18,52.17514,9.93743,5,97.0,73.9,3.9,9,4,124.6,42.9,-38.2,10.5,10.3,0.292,10.1,0.274,,,,15,,
schwefelporling,6344710839,2026-05-03,52.15865,10.30442,5,82.0,15.8,0.0,2,13,68.4,-36.5,-80.8,10.7,14.8,0.096,12.7,0.147,,,,15,,
schwefelporling,6344729579,2026-05-16,51.56169,9.9106,5,158.0,79.1,14.9,9,2,161.0,54.9,9.9,11.0,8.5,0.342,9.1,0.309,,,,15,,
schwefelporling,6344779129,2026-05-11,51.62268,9.45051,5,133.0,43.8,18.4,6,0,144.7,16.4,0.8,12.3,11.1,0.331,11.2,0.259,,,,15,,
schwefelporling,6344736823,2026-05-23,53.1408,10.49009,5,21.0,37.5,9.3,8,3,119.9,3.7,-46.8,11.5,14.7,0.175,13.2,0.15,,,,15,,
schwefelporling,6344785062,2026-05-29,53.48415,10.25549,5,45.0,17.6,0.9,5,9,105.9,-42.2,-78.3,15.3,18.7,0.215,16.7,0.278,,,,15,,
schwefelporling,6344813475,2026-05-14,52.29064,9.52695,5,76.0,53.1,40.7,8,0,151.9,54.6,10.7,11.0,9.1,0.362,9.2,0.338,,,,15,,
schwefelporling,6344831412,2026-05-07,52.12109,10.33592,5,142.0,0.0,40.3,4,0,106.8,-11.3,-43.5,11.9,14.9,0.203,14.1,0.161,,,,15,,
schwefelporling,6344861456,2026-05-22,53.19261,9.97932,5,77.0,33.6,10.7,10,2,127.6,4.5,-31.7,10.5,12.7,0.194,11.6,0.18,,,,15,,
schwefelporling,6344922169,2026-05-21,51.51987,10.83504,5,233.0,47.2,15.5,10,1,163.6,27.1,12.8,9.2,10.5,0.304,9.8,0.321,,,,15,,
schwefelporling,6344927178,2026-05-17,53.48416,10.25655,5,37.0,37.9,12.9,8,3,100.1,11.6,-53.4,10.6,9.3,0.365,9.6,0.283,,,,15,,
schwefelporling,6352253883,2026-05-14,52.28175,11.31349,5,109.0,44.8,26.4,7,0,132.1,29.8,-16.3,11.8,9.8,0.28,9.8,0.204,,,,15,,
schwefelporling,6345035755,2026-05-19,51.57764,10.13669,5,167.0,92.8,5.7,9,1,172.1,63.5,24.3,9.8,9.8,0.307,9.6,0.303,,,,15,,
schwefelporling,6344974844,2026-05-19,52.01944,10.46595,5,119.0,75.0,5.5,10,1,139.9,45.9,-23.0,10.1,10.6,0.273,10.1,0.272,,,,15,,
schwefelporling,6345005455,2026-05-29,52.02592,10.46828,5,110.0,15.0,7.0,5,0,142.8,-43.9,-51.4,16.0,21.7,0.099,19.4,0.159,,,,15,,
schwefelporling,6410748721,2026-05-30,52.93372,9.23165,5,34.0,30.9,5.8,5,1,114.1,-19.9,-64.9,15.4,17.6,0.165,16.3,0.232,,,,15,,
schwefelporling,6400565576,2026-05-24,52.34699,9.74437,5,56.0,60.7,1.7,10,4,165.3,16.7,-3.0,12.4,16.6,0.283,15.1,0.278,,,,15,,
schwefelporling,6400010723,2026-05-31,52.2769,10.55704,5,81.0,13.9,18.3,5,0,143.8,-34.6,-54.2,17.4,21.4,0.107,19.7,0.179,,,,15,,
schwefelporling,6352699717,2026-05-23,52.35683,9.76999,5,58.0,54.7,13.0,8,3,163.9,23.9,-5.5,12.0,15.7,0.263,14.2,0.25,,,,15,,
schwefelporling,6410770528,2026-05-10,52.35855,9.73701,5,57.0,45.8,7.7,4,3,116.1,1.6,-34.6,12.9,12.1,0.291,12.3,0.224,,,,15,,
schwefelporling,6411117034,2026-05-10,53.0843,9.32216,5,25.0,26.5,1.0,2,4,104.8,-22.1,-40.4,11.6,10.8,0.196,10.8,0.15,,,,15,,
schwefelporling,6410961726,2026-05-31,52.2084,11.74449,5,53.0,5.6,4.8,3,0,112.5,-58.1,-76.1,17.6,20.4,0.121,18.7,0.165,,,,15,,
schwefelporling,6410795738,2026-05-23,53.31229,10.19349,5,12.0,39.5,6.3,8,3,129.2,3.0,-36.1,11.7,15.1,0.121,13.1,0.11,,,,15,,
schwefelporling,6411160311,2026-05-31,51.7725,9.55289,5,446.0,18.5,21.0,4,0,155.9,-18.8,-17.3,14.6,15.4,0.251,14.4,0.288,,,,15,,
schwefelporling,6411603352,2026-05-10,51.75321,11.08229,5,140.0,41.2,14.8,4,3,154.3,9.4,4.4,12.0,12.0,0.311,12.0,0.258,,,,15,,
schwefelporling,6411611455,2026-05-27,52.21765,9.20528,5,166.0,41.5,0.0,8,7,154.3,-11.7,-15.3,13.9,18.6,0.203,16.8,0.248,,,,15,,
schwefelporling,6412100903,2026-05-31,53.3324,10.00894,5,22.0,20.5,1.9,4,11,100.4,-41.1,-87.9,16.2,18.9,0.06,16.7,0.057,,,,15,,
schwefelporling,6412209151,2026-05-10,51.96448,10.51017,5,150.0,49.5,7.7,4,3,135.0,9.1,-14.6,12.0,11.5,0.316,11.6,0.242,,,,15,,
schwefelporling,6412419181,2026-05-30,53.34796,9.92627,5,89.0,22.8,1.9,5,10,101.0,-37.2,-85.0,15.6,19.5,0.052,16.9,0.058,,,,15,,
schwefelporling,6399054282,2026-06-03,52.31345,10.59001,6,79.0,14.5,20.0,5,0,165.0,-32.1,-33.4,17.9,18.1,0.187,17.1,0.18,,,,15,,
